country,flag,map,tags,population
England,"<img src=""ug-flag-england.svg"" />","<img src=""ug-map-england.png"" />",UG::Europe,56489800
Scotland,"<img src=""ug-flag-scotland.svg"" />","<img src=""ug-map-scotland.png"" />",UG::Europe,5463300
United Kingdom,"<img src=""ug-flag-united_kingdom.svg"" />","<img src=""ug-map-united_kingdom.png"" />","UG::Europe, UG::Sovereign_State",67026292
Northern Ireland,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe,1903100
France,"<img src=""ug-flag-france.svg"" />","<img src=""ug-map-france.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",68128000
Wales,"<img src=""ug-flag-wales.svg"" />","<img src=""ug-map-wales.png"" />",UG::Europe,3267501
Georgia,"<img src=""ug-flag-georgia.svg"" />","<img src=""ug-map-georgia.png"" />","UG::Europe, UG::Sovereign_State",3736400
Germany,"<img src=""ug-flag-germany.svg"" />","<img src=""ug-map-germany.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",84432670
Greece,"<img src=""ug-flag-greece.svg"" />","<img src=""ug-map-greece.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",10482487
Greenland,"<img src=""ug-flag-greenland.svg"" />","<img src=""ug-map-greenland.png"" />",UG::North_America,56609
Hungary,"<img src=""ug-flag-hungary.svg"" />","<img src=""ug-map-hungary.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",9597085
Albania,"<img src=""ug-flag-albania.svg"" />","<img src=""ug-map-albania.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State",2761785
Andorra,"<img src=""ug-flag-andorra.svg"" />","<img src=""ug-map-andorra.png"" />","UG::Europe, UG::Sovereign_State",83523
Austria,"<img src=""ug-flag-austria.svg"" />","<img src=""ug-map-austria.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",9129652
Azerbaijan,"<img src=""ug-flag-azerbaijan.svg"" />","<img src=""ug-map-azerbaijan.png"" />","UG::Europe, UG::Sovereign_State",10135373
Belarus,"<img src=""ug-flag-belarus.svg"" />","<img src=""ug-map-belarus.png"" />","UG::Europe, UG::Sovereign_State",9200617
Belgium,"<img src=""ug-flag-belgium.svg"" />","<img src=""ug-map-belgium.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",11765225
Bosnia and Herzegovina,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />","<img src=""ug-map-bosnia_and_herzegovina.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State",3277082
Bulgaria,"<img src=""ug-flag-bulgaria.svg"" />","<img src=""ug-map-bulgaria.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",6447710
Croatia,"<img src=""ug-flag-croatia.svg"" />","<img src=""ug-map-croatia.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",3888529
Czech Republic,"<img src=""ug-flag-czech_republic.svg"" />","<img src=""ug-map-czech_republic.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",10827529
Denmark,"<img src=""ug-flag-denmark.svg"" />","<img src=""ug-map-denmark.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",5944145
Estonia,"<img src=""ug-flag-estonia.svg"" />","<img src=""ug-map-estonia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",1365884
Faroe Islands,"<img src=""ug-flag-faroe_islands.svg"" />","<img src=""ug-map-faroe_islands.png"" />",UG::Europe,54503
Finland,"<img src=""ug-flag-finland.svg"" />","<img src=""ug-map-finland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",5547549
Iceland,"<img src=""ug-flag-iceland.svg"" />","<img src=""ug-map-iceland.png"" />","UG::Europe, UG::Sovereign_State",394200
Ireland,"<img src=""ug-flag-ireland.svg"" />","<img src=""ug-map-ireland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",5149139
Italy,"<img src=""ug-flag-italy.svg"" />","<img src=""ug-map-italy.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",58788924
Latvia,"<img src=""ug-flag-latvia.svg"" />","<img src=""ug-map-latvia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",1883400
Liechtenstein,"<img src=""ug-flag-liechtenstein.svg"" />","<img src=""ug-map-liechtenstein.png"" />","UG::Europe, UG::Sovereign_State",39680
Lithuania,"<img src=""ug-flag-lithuania.svg"" />","<img src=""ug-map-lithuania.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",2866165
Luxembourg,"<img src=""ug-flag-luxembourg.svg"" />","<img src=""ug-map-luxembourg.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",660809
North Macedonia,"<img src=""ug-flag-north_macedonia.svg"" />","<img src=""ug-map-north_macedonia.png"" />","UG::Europe, UG::Sovereign_State",1832696
Malta,"<img src=""ug-flag-malta.svg"" />","<img src=""ug-map-malta.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",519562
Moldova,"<img src=""ug-flag-moldova.svg"" />","<img src=""ug-map-moldova.png"" />","UG::Europe, UG::Sovereign_State",2604000
Monaco,"<img src=""ug-flag-monaco.svg"" />","<img src=""ug-map-monaco.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State",39150
Montenegro,"<img src=""ug-flag-montenegro.svg"" />","<img src=""ug-map-montenegro.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State",616695
Netherlands,"<img src=""ug-flag-netherlands.svg"" />","<img src=""ug-map-netherlands.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",17896000
Norway,"<img src=""ug-flag-norway.svg"" />","<img src=""ug-map-norway.png"" />","UG::Europe, UG::Sovereign_State",5504329
Poland,"<img src=""ug-flag-poland.svg"" />","<img src=""ug-map-poland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",37706000
Portugal,"<img src=""ug-flag-portugal.svg"" />","<img src=""ug-map-portugal.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",10467366
Romania,"<img src=""ug-flag-romania.svg"" />","<img src=""ug-map-romania.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",19053815
Russia,"<img src=""ug-flag-russia.svg"" />","<img src=""ug-map-russia.png"" />","UG::Europe, UG::Sovereign_State",146424729
San Marino,"<img src=""ug-flag-san_marino.svg"" />","<img src=""ug-map-san_marino.png"" />","UG::Europe, UG::Sovereign_State",33847
Serbia,"<img src=""ug-flag-serbia.svg"" />","<img src=""ug-map-serbia.png"" />","UG::Europe, UG::Sovereign_State",6647003
Slovakia,"<img src=""ug-flag-slovakia.svg"" />","<img src=""ug-map-slovakia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",5426857
Slovenia,"<img src=""ug-flag-slovenia.svg"" />","<img src=""ug-map-slovenia.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",2117674
Spain,"<img src=""ug-flag-spain.svg"" />","<img src=""ug-map-spain.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State",48345223
Sweden,"<img src=""ug-flag-sweden.svg"" />","<img src=""ug-map-sweden.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State",10540886
Switzerland,"<img src=""ug-flag-switzerland.svg"" />","<img src=""ug-map-switzerland.png"" />","UG::Europe, UG::Sovereign_State",8865270
Turkey,"<img src=""ug-flag-turkey.svg"" />","<img src=""ug-map-turkey.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",85279553
Ukraine,"<img src=""ug-flag-ukraine.svg"" />","<img src=""ug-map-ukraine.png"" />","UG::Europe, UG::Sovereign_State",41130432
Vatican City,"<img src=""ug-flag-vatican_city.svg"" />","<img src=""ug-map-vatican_city.png"" />","UG::Europe, UG::Sovereign_State",246
Armenia,"<img src=""ug-flag-armenia.svg"" />","<img src=""ug-map-armenia.png"" />","UG::Europe, UG::Sovereign_State",2981200
Cyprus,"<img src=""ug-flag-cyprus.svg"" />","<img src=""ug-map-cyprus.png"" />","UG::Asia, UG::European_Union, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",918100
Kazakhstan,"<img src=""ug-flag-kazakhstan.svg"" />","<img src=""ug-map-kazakhstan.png"" />","UG::Asia, UG::Sovereign_State",19899377
Egypt,"<img src=""ug-flag-egypt.svg"" />","<img src=""ug-map-egypt.png"" />","UG::Africa, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",104462545
Algeria,"<img src=""ug-flag-algeria.svg"" />","<img src=""ug-map-algeria.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State",45400000
Angola,"<img src=""ug-flag-angola.svg"" />","<img src=""ug-map-angola.png"" />","UG::Africa, UG::Sovereign_State",33086278
Benin,"<img src=""ug-flag-benin.svg"" />","<img src=""ug-map-benin.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",12606998
Botswana,"<img src=""ug-flag-botswana.svg"" />","<img src=""ug-map-botswana.png"" />","UG::Africa, UG::Sovereign_State",2410338
Burkina Faso,"<img src=""ug-flag-burkina_faso.svg"" />","<img src=""ug-map-burkina_faso.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",22185654
