,Country / Dependency,Population,"% of world",Date,"Source (official or from the United Nations)", –,World,"8,053,702,000",100%,13 Aug 2023,UN projection,
1,China,"1,411,750,000",17.5%,31 Dec 2022,Official estimate,
2,India,"1,392,329,000",17.3%,1 Jul 2023,Official projection,
3,United States,"335,236,000",4.2%,13 Aug 2023,National population clock,
4,Indonesia,"277,749,853",3.4%,31 Dec 2022,Official estimate,
5,Pakistan,"220,425,254",2.7%,1 Jul 2020,Official projection,
6,Nigeria,"216,783,400",2.7%,21 Mar 2022,Official projection,
7,Brazil,"203,062,512",2.5%,1 Aug 2022,2022 census result,
8,Bangladesh,"169,828,911",2.1%,15 Jun 2022,2022 census result,
9,Russia,"146,424,729",1.8%,1 Jan 2023,Official estimate,
10,Mexico,"129,035,733",1.6%,31 Mar 2023,National quarterly estimate,
11,Japan,"124,560,000",1.5%,1 Jul 2023,Official estimate,
12,Philippines,"110,672,000",1.4%,13 Aug 2023,National population clock,
13,Ethiopia,"105,163,988",1.3%,1 Jul 2022,National annual projection,
14,Egypt,"104,462,545",1.3%,1 Jan 2023,Official estimate,
15,Vietnam,"100,000,000",1.2%,Apr 2023,Official estimate,
16,DR Congo,"95,370,000",1.2%,1 Jul 2019,Official figure,
17,Turkey,"85,279,553",1.1%,31 Dec 2022,Official estimate,
18,Iran,"85,207,200",1.1%,13 Aug 2023,National population clock,
19,Germany,"84,432,670",1.0%,31 Mar 2023,National quarterly estimate,
20,Thailand,"68,263,022",0.8%,1 Jul 2021,Official estimate,
21,France,"68,128,000",0.8%,1 Jul 2023,Monthly national estimate,
22,United Kingdom,"67,026,292",0.8%,30 Jun 2021,Official estimate,
23,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result,
24,South Africa,"60,604,992",0.8%,1 Jul 2022,Official estimate,
25,Italy,"58,788,924",0.7%,30 Apr 2023,Monthly national estimate,
26,Myanmar,"55,770,232",0.7%,1 Jul 2022,National annual projection,
27,Colombia,"52,215,503",0.6%,30 Jun 2023,Official projection,
28,Kenya,"51,526,000",0.6%,1 Jan 2023,Official projection,
29,South Korea,"51,439,038",0.6%,31 Dec 2022,Official estimate,
30,Spain,"48,345,223",0.6%,1 Jul 2023,Official estimate,
31,Argentina,"46,044,703",0.6%,18 May 2022,2022 census result,
32,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate,
33,Iraq,"43,324,000",0.5%,1 Jul 2023,Official estimate,
34,Uganda,"42,885,900",0.5%,1 Jul 2021,Official projection,
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection,
36,Ukraine,"41,130,432",0.5%,1 Feb 2022,National monthly estimate,
37,Canada,"40,238,600",0.5%,13 Aug 2023,National population clock,
38,Poland,"37,706,000",0.5%,31 May 2023,National monthly estimate,
39,Morocco,"37,063,000",0.5%,13 Aug 2023,National population clock,
40,Uzbekistan,"36,197,788",0.4%,1 Apr 2023,National quarterly estimate,
41,Afghanistan,"34,262,840",0.4%,1 Jan 2023,Official estimate,
42,Peru,"33,396,698",0.4%,1 Jul 2022,National annual projection,
43,Angola,"33,086,278",0.4%,30 Jun 2022,National annual projection,
44,Malaysia,"32,703,700",0.4%,13 Aug 2023,National population clock,
45,Mozambique,"32,419,747",0.4%,1 Jul 2022,National annual projection,
46,Saudi Arabia,"32,175,224",0.4%,10 May 2022,2022 census result,
47,Yemen,"31,890,000",0.4%,1 Jul 2022,Official estimate,
48,Ghana,"30,832,019",0.4%,27 Jun 2021,2021 census result,
